"Cluster","Primary keyword","Related entities and subquestions","Intent","Canonical target URL","Status","Funnel","Priority","Recommended format","Internal links","Cannibalization risk"
"Brand","Brolly Exam Prep","Brolly Academy; login; mock tests; study material","Navigational","https://brollyexamprep.com/","Existing","Return","High","Homepage with accurate product inventory","About; mock tests; study material","Keep brand facts on About; homepage owns brand query"
"Category","competitive exam preparation online","government exams; entrance exams; mock tests; syllabus","Commercial investigation","https://brollyexamprep.com/","Existing","Awareness","High","Platform overview plus clear available features","Government exams; entrance exams; practice","Do not create synonym pages for online exam preparation"
"Government exams","government exams in India","SSC; banking; railway; UPSC; defence; teaching; state exams","Informational","https://brollyexamprep.com/government-exams/","Existing","Awareness","High","Exam-family decision hub","All government exam families","Exam-family pages own their narrower terms"
"SSC hub","SSC exams","SSC CGL; CHSL; MTS; GD; CPO; JE","Informational","https://brollyexamprep.com/government-exams/ssc/","Existing","Awareness","High","Comparison hub","All SSC exam guides","Individual exams own exam-specific queries"
"SSC CGL guide","SSC CGL exam","eligibility; stages; posts; official notification","Informational","https://brollyexamprep.com/government-exams/ssc/ssc-cgl/","Existing","Consideration","High","Authoritative pillar guide","Syllabus; pattern; papers; preparation; diagnostic","Resource subpages must not repeat the base overview"
"SSC CGL syllabus","SSC CGL syllabus","Tier 1; Tier 2; subject topics; official PDF","Informational","https://brollyexamprep.com/government-exams/ssc/ssc-cgl/syllabus/","Existing","Consideration","High","Section-wise syllabus with source and change log","SSC CGL; pattern; study topics","Pattern page owns timing and marking"
"SSC CGL pattern","SSC CGL exam pattern","questions; marks; negative marking; timing","Informational","https://brollyexamprep.com/government-exams/ssc/ssc-cgl/exam-pattern/","Existing","Consideration","High","Stage comparison table plus official citation","SSC CGL; syllabus; diagnostic","Syllabus page should summarize, then link here"
"SSC CGL test","SSC CGL mock test free","timed diagnostic; questions; answers; explanations","Transactional","https://brollyexamprep.com/mock-tests/ssc-cgl/","Existing","Conversion","High","Attemptable diagnostic with transparent length","SSC CGL pillar; mock hub; relevant lessons","Do not call it full-length until it matches the official paper"
"SSC CGL papers","SSC CGL previous year paper","official archive; answer key; topic frequency","Informational","https://brollyexamprep.com/government-exams/ssc/ssc-cgl/previous-year-papers/","Existing","Consideration","High","Official-link directory plus original topic study","SSC CGL; previous-paper method","Generic previous-paper page owns the method"
"Banking hub","bank exam preparation","SBI PO; IBPS PO; clerk; RRB; RBI Grade B","Commercial investigation","https://brollyexamprep.com/government-exams/banking/","Existing","Awareness","High","Exam comparison hub","All banking exams; quant; reasoning; English","Individual exam pages own specific exams"
"IBPS PO","IBPS PO preparation","syllabus; pattern; previous papers; mock diagnostic","Informational","https://brollyexamprep.com/government-exams/banking/ibps-po/","Existing","Consideration","High","Exam pillar","Six resources; diagnostic; banking awareness","Separate resource intent cleanly"
"IBPS PO test","IBPS PO mock test free","prelims diagnostic; negative marking; explanations","Transactional","https://brollyexamprep.com/mock-tests/ibps-po/","Existing","Conversion","High","Attemptable diagnostic","IBPS PO pillar; quant; reasoning","Avoid competing family test pages"
"SBI PO","SBI PO preparation","prelims; mains; interview; descriptive writing","Informational","https://brollyexamprep.com/government-exams/banking/sbi-po/","Existing","Consideration","High","Exam pillar with stage decisions","Six resources; diagnostic","IBPS comparisons belong on banking hub"
"Railway hub","railway exam preparation","RRB NTPC; Group D; ALP; JE; RPF","Informational","https://brollyexamprep.com/government-exams/railways/","Existing","Awareness","High","Role and exam comparison hub","All railway exams","Exam pages own exact recruitment terms"
"RRB NTPC","RRB NTPC preparation","CBT stages; syllabus; pattern; posts","Informational","https://brollyexamprep.com/government-exams/railways/rrb-ntpc/","Existing","Consideration","High","Exam pillar","Resources; diagnostic; official railway source","Avoid separate pages for wording variants"
"UPSC hub","UPSC exam preparation","CSE; NDA; CDS; CAPF; engineering services; IFS","Informational","https://brollyexamprep.com/government-exams/upsc/","Existing","Awareness","High","Exam-family decision hub","All UPSC exams","CSE owns civil-services preparation"
